bls	d0	d1	d2	d3	d4	d5	d6	d7	d8	d9	sec
11831	path3589										moreno
11819	path3587										moreno
1813	path3585	path3581	path3579	path3575							moreno
11815	path3573	path3571	path3569	path3565	path3599	path3567					moreno
11817	path3577										moreno
1809	path3563										moreno
11827	path3561										moreno
1811	path3559										moreno
11825	path3557										moreno
11813	path3534										moreno
1807	path3532	path3518	path3520								moreno
11811	path3530										moreno
1805	path3528										moreno
11805	path3514	path3512	path3500	path3498	path3494						moreno
11807	path3516	path3512	path3500	path3498	path3494						moreno
11809	path3522	path3504									moreno
11823	path3526										moreno
1815	path3524	path3508									moreno
11821	path3506	path3504									moreno
11801	path3496	path3492									moreno
11803	path3502	path3492									moreno
1803	path3490										moreno
11829	path3488										moreno
1804	path3486										moreno
1801	path3484										moreno
1802	path3482										prey
1715	path3480										prey
11703	path3478										prey
1713	path3476										prey
1714	path3474										prey
1711	path3472										prey
1712	path3470										prey
1709	path3468										prey
1710	path3466										prey
1707	path3464										prey
1708	path3462										prey
11704	path3460										prey
1706	path3458	path3454	path3452	path3450							prey
1705	path3456	path3450									prey
1703	path3446										prey
1704	path3448										prey
11701	path3444										prey
11705	path3421										prey
1701	path3419	path3413	path3415								merlo
11702	path3417	path3409									prey
11613	path3411	path3409									merlo
1702	path3407										merlo
1619	path3405										merlo
1626	path3403										merlo
11611	path3401										merlo
11616	path3399										merlo
1617	path3397										merlo
1624	path3395										merlo
1615	path3393										merlo
1622	path3391										merlo
11609	path3389										merlo
11614	path3387										merlo
1613	path3385										merlo
1620	path3383										merlo
1611	path3381	path3369	path3365								merlo
1618	path3379										merlo
11612	path3377										merlo
1616	path3375	path3373	path3371	path3369	path3365						merlo
1614	path3367	path3355	path3357	path3359							merlo
1609	path3363	path3361									merlo
1607	path3349										merlo
1610	path3353										merlo
1612	path3351										merlo
11605	path3347										merlo
11615	path3324										merlo
1605	path3322	path3308	path3302	path3296	path3290	path3292					merlo
11608	path3320										merlo
1608	path3318	path3310	path3300	path3296	path3290	path3292					merlo
1606	path3210										merlo
1604	path3316										merlo
1603	path3208	path3194	path3192	path3190							merlo
11606	path3206	path3196	path3188								merlo
11603	path3198	path3194	path3192	path3190							merlo
11601	path3202	path3196	path3188								merlo
11602	path3312	path3120									merlo
11604	path3186	path3120									merlo
1601	path3118										merlo
1602	path3116										padua
1513	path3114										padua
1514	path3112										padua
1511	path3108										padua
11505	path3106										padua
1512	path3104										padua
1509	path3102										padua
11506	path3100										padua
1510	path3098										padua
1507	path3096										padua
1505	path3094	path3090	path3086								padua
1508	path3092	path3082									padua
11504	path3084	path3082									padua
11503	path3088										padua
1506	path3080										padua
11502	path3063										padua
1504	path3059	path3057	path3055	path3053							padua
1503	path3061	path3053									padua
1501	path3051										padua
1502	path2951										padua
11501	path3049										padua
1415	path3047										padua
1416	path2949										ituzaingo
1413	path2947										ituzaingo
1414	path2945										ituzaingo
11407	path2943										ituzaingo
11406	path2941										ituzaingo
1411	path2939										ituzaingo
11405	path2937										ituzaingo
1409	path2935										ituzaingo
1412	path2933										ituzaingo
11404	path2931										ituzaingo
11403	path2929										ituzaingo
1410	path2927										ituzaingo
1407	path2925										ituzaingo
1408	path2923										ituzaingo
1405	path2921	path2909									ituzaingo
11402	path2919										ituzaingo
1406	path2917	path2915	path2911	path2909							ituzaingo
1404	path2913										ituzaingo
1403	path2907										ituzaingo
11401	path2905										ituzaingo
1401	path2888										ituzaingo
1311	path2886										castelar
1402	path2884										castelar
1346	path2882										castelar
1309	path5247	path5241	path1293-9								castelar
1344	path5245	path5231	path5227	path5225							castelar
11364	path5239										castelar
1342	path5237										castelar
11307	path1291-8	path5231	path5227	path5225							castelar
11305	path5243										castelar
11360	path5229	path5221	path5205	path5207							castelar
11362	path5223	path5221	path5205	path5207							castelar
1340	path5219										castelar
11356	path5209	path5211									castelar
11358	path5203										castelar
1307	path5217										castelar
1336	path5201										castelar
11376	path5199										castelar
1350	path5213										castelar
1338	path5219-3										castelar
11378	path5215										castelar
11354	path5195										castelar
1332	path5193	path5191	path5189								castelar
11346	path5197	path5183	path5175	path5173	path5169	path5173-8	path5161				castelar
11348	path5187	path5183	path5175	path5173	path5169	path5173-8	path5161				castelar
11350	path5185										castelar
1330	path5179	path5177									castelar
1305	path5181										castelar
11342	path5167	path5165									castelar
11344	path5171	path5167	path5165								castelar
1328	path5159										castelar
1303	path5153	path5141	path5139	path5131	path5129						castelar
11380	path5155										castelar
1322	path5151										castelar
1320	path5149										castelar
11374	path5147										castelar
11340	path5145										castelar
1326	path5143	path5125	path5111	path5109							castelar
11338	path5123										castelar
1324	path5121										castelar
11303	path5127	path5125	path5111	path5109							castelar
11336	path5119										castelar
